Территориальное управление Ростехнадзора,Субъект(ы) Российской Федерации,Вид проверки,Наименование проверяемой организации,ИНН проверяемой организации,Регистрационный № ОПО,Начало проведения проверки,Окончание проведения проверки,Количество башенных кранов в организации (всего),Количество проверенных башенных кранов,Количество демонтированных кранов (из числа проверенных),Количество выявленных технических нарушений,Количество выявленных организационных нарушений,Количество нарушений в части ППР,Количество нарушений в части ЭПБ,Количество нарушений требований ТР ТС 010/2011,"Количество иных нарушений (с указанием вида(видов) нарушений в графе ""Примечания"")",Общее количество выявленных нарушений (по Акту),Количество штрафов в отношении юридических лиц,Общая сумма наложенных штрафов в отношении юридических лиц (руб.),Количество штрафов в отношении должностных лиц,Общая сумма наложенных штрафов в отношении должностных лиц (руб.),Количество приостановок по ч.1 ст. 9.1 КоАП,Количество приостановок по ч. 3 ст. 9.1 КоАП,Количество вынесенных предупреждений,Количество дисквалификаций,"Иные принятые меры реагирования (письма в правоохранительные органы, прокуратуру, суды и т.д.)",Примечания
Енисейское управление,38 Иркутская область,первичная выездная проверка (по поручению 85 РП),"Общество с ограниченной ответственностью ""Инстройтех""",3 811 139 030,,28.11.2017,25.12.2017,1,1,0,0,1,0,0,0,0,1,0, -   ? ,0, -   ? ,0,0,0,0,"?нет
","Направлено уведомление о протоколе на должностное лицо. В связи с отнесением лица к субъектам МиСП возможно вынесение предупреждения в соответствии со ст. 4.1.1 КоАП РФ 

"
Енисейское управление,38 Иркутская область,первичная выездная проверка (по поручению 85 РП),"Общество с ограниченной ответственностью ""ТулунЛомСервис""",3 816 011 235,А67-02364-0001,04.12.2017,20.12.2017,1,1,0,7,3,0,0,0,0,10,0, -   ? ,0, -   ? ,0,0,0,0,"?нет
","Направлено уведомление о протоколе на юридическое лицо. В связи с отнесением лица к субъектам МиСП возможно вынесение предупреждения в соответствии со ст. 4.1.1 КоАП РФ 

"
Енисейское управление,38 Иркутская область,первичная выездная проверка (по поручению 85 РП),"Общество с ограниченной ответственностью ""Вета""",3 826 003 900,,04.12.2017,20.12.2017,1,1,0,1,4,0,0,0,0,5,0, -   ? ,0, -   ? ,0,0,0,0,"?нет
","Направлено уведомление о протоколе на юридическое лицо. В связи с отнесением лица к субъектам МиСП возможно вынесение предупреждения в соответствии со ст. 4.1.1 КоАП РФ 

"
Енисейское управление,38 Иркутская область,первичная выездная проверка (по поручению 85 РП),"Общество с ограниченной ответственностью ""Иркутская Универсальная база Иркутского облпотребсоюза""",3 807 004 707,,28.11.2017,25.12.2017,1,1,1,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,"?нет
","?кран демонтирован
"
Енисейское управление,38 Иркутская область,первичная выездная проверка (по поручению 85 РП),"Общество с ограниченной ответственностью ""Строительно-торговая компания""",3 808 091 854,А67-01949-0001,22.11.2017,19.12.2017,1,0,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,"?нет
","?не найдено юридическое лицо
"
Енисейское управление,38 Иркутская область,первичная выездная проверка (по поручению 85 РП),"Общество с ограниченной ответственностью фирма ""Базис-Строй""",3 812 042 761,А67-00882-0001 ,28.11.2017,25.12.2017,2,0,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,"?нет
","?не найдено юридическое лицо
"
Енисейское управление,38 Иркутская область,первичная выездная проверка (по поручению 85 РП),"Общество с ограниченной ответственностью ""Байкал-Лесобаза""",3 810 027 373,А67-00220-0002,28.11.2017,25.12.2017,1,0,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,"?нет
","?не найдено юридическое лицо
"
Енисейское управление,38 Иркутская область,первичная выездная проверка (по поручению 85 РП),"ОАО ""Ангарское управление строительства""",3 801 010 824,А67-00317-0010,24.07.2017,18.08.2017,6,6,6,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,"?нет
",
Енисейское управление,38 Иркутская область,первичная выездная проверка (по поручению 85 РП),"ООО ""Таурус""",3 810 043 047,А67-01871-0001,24.07.2017,18.08.2017,3,3,3,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,"?нет
",
Енисейское управление,38 Иркутская область,первичная выездная проверка (по поручению 85 РП),"ООО ""Вертикаль""",3 812 113 204,,16.08.2017,12.09.2017,2,2,0,25,15,0,0,0,0,40,1, 200 000.00 ? ,2, 40 000.00 ? ,0,0,0,0,"?нет
",
Центральное управление,37 Ивановская область,первичная выездная проверка (по поручению 85 РП),ЗАО «Техстрой»,3 702 045 142,А16-03474-0001,14.07.2017,21.07.2017,9,9,2,9,7,2,0,0,4,22,1, 200 000.00 ? ,1, 20 000.00 ? ,0,0,0,0,,"?Постановление в отношении юридического лица отменено арбитражным судом. Принимаются меры к повторному составлению протокола с целью привлечения ЗАО ""Техстрой"" к административной ответсвенности.
"
Енисейское управление,17 Республика Тыва,первичная выездная проверка (по поручению 85 РП),"ООО ""Бенконс""",7 703 794 818,,12.09.2017,14.09.2017,2,2,2,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Енисейское управление,17 Республика Тыва,первичная выездная проверка (по поручению 85 РП),"ООО ""Туваасбестстрой""",1 718 002 020,,12.09.2017,13.09.2017,1,1,0,0,5,0,0,0,0,5,0, -   ? ,0, -   ? ,0,0,1,0,"?В связи с тем, что ООО ""Туваасбестстрой"", относится к малому бизнесу, в место административного наказания в виде штрафа в отношении должностного лиц вынесено предупреждение
",
Енисейское управление,17 Республика Тыва,контроль выполнения предписания,"ООО ""Жилье""",1 701 001 685, А66-00320-0001,20.09.2017,22.09.2017,1,1,0,0,3,0,0,0,0,3,0, -   ? ,1, 30.00 ? ,0,0,0,0,,
Енисейское управление,17 Республика Тыва,контроль выполнения предписания,"ООО ""Хайдып Девелопмент""",1 701 048 316,А66-04158-0001,22.11.2017,29.11.2017,1,1,0,0,5,0,0,0,0,5,0, -   ? ,1, 30.00 ? ,0,0,0,0,,
Центральное управление,50 Московская область,первичная выездная проверка (по поручению 85 РП),"ЗАО ""СЕДО""",5 077 000 274,А02-30147-0007,10.07.2017,21.07.2017,3,3,2,11,6,2,0,0,0,19,1, 200 000.00 ? ,1, 20 000.00 ? ,0,0,0,0,,
Центральное управление,50 Московская область,первичная выездная проверка (по поручению 85 РП),"ООО ""Кранстройсервис""",5 053 025 632,А02-52082-0001,17.05.2017,14.06.2017,17,6,11,31,22,1,4,1,0,59,2, 800 000.00 ? ,2, 60 000.00 ? ,0,3,0,1,,
Северо-Западное управление,51 Мурманская область,первичная выездная проверка (по поручению 85 РП),АО  «Центргазстрой»  ,5 193 800 070,А26-00129-0001,06.06.2017,08.06.2017,1,1,0,13,13,0,0,0,0,26,0, -   ? ,1, 20.00 ? ,0,0,1,0,,
Северо-Западное управление,51 Мурманская область,первичная выездная проверка (по поручению 85 РП),ООО Мурманстрой»,5 190 021 090,А26-01045-0001,08.08.2017,10.08.2017,2,2,2,0,14,0,0,0,0,14,0, -   ? ,2, 40 000.00 ? ,0,0,0,0,?0,
Северо-Западное управление,51 Мурманская область,первичная выездная проверка (по поручению 85 РП),филиал АО «ЦС «Звездочка» «СРЗ «Нерпа»,2 902 060 361,А27-00921-0041,15.08.2017,17.08.2017,1,1,0,12,11,1,0,0,0,24,0, -   ? ,2, 40 000.00 ? ,0,0,0,0,,
Северо-Западное управление,51 Мурманская область,первичная выездная проверка (по поручению 85 РП),"ООО ""АСМ-Инвест""",5 190 124 522,А26-01090-0001,26.09.2017,28.09.2017,2,2,1,4,13,8,0,0,0,25,0, -   ? ,3, 60 000.00 ? ,0,0,0,0,,
Северо-Западное управление,51 Мурманская область,контроль выполнения предписания,"АО ""Центргазстрой»",5 193 800 070,А26-00129-0001,17.10.2017,19.10.2017,1,1,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Северо-Западное управление,51 Мурманская область,контроль выполнения предписания,ООО «Мурманстрой»,5 190 021 090,А26-01045-0001,14.11.2017,16.11.2017,2,2,2,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Северо-Западное управление,51 Мурманская область,контроль выполнения предписания,филиал АО «ЦС «Звездочка» «СРЗ «Нерпа»,2 902 060 361,А27-00921-0041,12.12.2017,14.12.2017,1,1,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Северо-Западное управление,51 Мурманская область,контроль выполнения предписания,"ООО ""АСМ-ИНВЕСТ""",5 190 124 522,А26-01090-0001,05.12.2017,07.12.2017,2,2,1,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Средне-Поволжское управление,63 Самарская область,первичная выездная проверка (по поручению 85 РП),"ООО ""Шард""",6 367 031 974,А53-04273,05.06.2017,30.06.2017,6,0,0,0,2,0,0,0,0,2,0, -   ? ,1, 20 000.00 ? ,0,0,0,0,?0,?0
Средне-Поволжское управление,63 Самарская область,контроль выполнения предписания,"ООО ""Шард""",6 367 031 974,А53-04273,31.07.2017,04.08.2017,6,0,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,?0,?0
Средне-Поволжское управление,63 Самарская область,первичная выездная проверка (по поручению 85 РП),"ЗАО ГК ""Электрощит-ТМ Самара""",6 313 009 980, А53-02751,09.10.2017,13.10.2017,4,4,0,2,4,0,0,0,0,6,0, -   ? ,1, 20 000.00 ? ,0,0,0,0,?0,?0
Средне-Поволжское управление,63 Самарская область,контроль выполнения предписания,"ЗАО ГК ""Электрощит-ТМ Самара""",6 313 009 980,А53-02751,27.11.2017,30.11.2017,4,4,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,?0,?0
Средне-Поволжское управление,63 Самарская область,первичная выездная проверка (по поручению 85 РП),ООО «Вира-Строй» ,6 318 243 380,А53-05432-0001 от 19.04.2017г. IV класс опасности.,25.08.2017,31.08.2017,2,2,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,?0,
Средне-Поволжское управление,63 Самарская область,первичная выездная проверка (по поручению 85 РП),ОАО «Строй-Центр»,6 316 052 630,А53-01754 от 23.09.2002г. (с изменеиями от 04.04.2016г.),10.07.2017,14.07.2017,6,6,0,6,3,0,0,0,0,9,0, -   ? ,1, 20 000.00 ? ,0,0,0,0,?0,?0
Средне-Поволжское управление,63 Самарская область,первичная выездная проверка (по поручению 85 РП),ООО «Меридиан-63»,6 315 659 038,А53-05217-0001 исключён из государственного реестра опасных производственных объектов  31.10.2017г. (уведомление об исключении  № 01-15/25887/2 от 31.10.2017г.).,20.11.2017,24.11.2017,0,0,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,?0,
Средне-Поволжское управление,63 Самарская область,первичная выездная проверка (по поручению 85 РП),"ООО СК ""Оникс""",6 311 170 285,А53-05507-0001,11.12.2017,15.12.2017,1,1,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,?0,?0
Средне-Поволжское управление,63 Самарская область,первичная выездная проверка (по поручению 85 РП),"ООО ""Эстейт Плюс""",6 318 143 932,А53-02980-0001 от 19.04.2006г. ,20.11.2017,24.11.2017,8,8,3,3,3,0,0,0,1,7,0, -   ? ,1, 20 000.00 ? ,0,0,0,0,,"?Не внесены изменения в ранее выданном свидетельстве о регистрации в Госреестре ОПО, в связи со списанием и снятием с учёта башенного крана рег.№ 09744.
"
Средне-Поволжское управление,63 Самарская область,первичная выездная проверка (по поручению 85 РП),"ООО ""ГРАНД-ПРОЕКТ""",1 657 200 470,А43-07133-0001 от 06.10.2016г.,17.09.2017,25.09.2017,4,4,0,2,2,0,0,0,0,4,0, -   ? ,1, 20 000.00 ? ,0,0,0,0,?0,?0
Приволжское управление,12 Республика Марий Эл,первичная выездная проверка (по поручению 85 РП),"ЗАО СПП ""Салют""",1 215 003 701,А42-00484-0001,15.06.2017,21.06.2017,2,2,0,4,8,2,0,10,0,24,0, -   ? ,1, 20.00 ? ,0,0,0,0,,
Приволжское управление,12 Республика Марий Эл,первичная выездная проверка (по поручению 85 РП),"ПАО ""Волжскпромстрой""",1 216 001 104,А42-00066-004,22.06.2017,28.06.2017,2,2,2,9,15,13,1,8,0,46,0, -   ? ,0, -   ? ,1,0,0,0,,
Приволжское управление,12 Республика Марий Эл,первичная выездная проверка (по поручению 85 РП),"ООО ""Мехис-Центр""",1 215 060 925,А42-01187-0001,12.07.2017,25.07.2017,18,18,11,4,13,5,0,12,0,34,0, -   ? ,3, 60.00 ? ,0,0,0,0,,
Приволжское управление,12 Республика Марий Эл,первичная выездная проверка (по поручению 85 РП),"ООО НПО ""Промимпэкс""",1 215 046 617,А42-04224,21.08.2017,31.08.2017,4,4,2,11,20,4,1,26,0,62,0, -   ? ,4, 80.00 ? ,0,0,0,0,,
Приволжское управление,12 Республика Марий Эл,первичная выездная проверка (по поручению 85 РП),"ООО ""Строительные материалы""",1 215 091 828,А42-03900-0005,02.10.2017,06.10.2017,1,1,0,6,29,3,1,25,0,64,0, -   ? ,2, 40.00 ? ,0,0,0,0,,
Приволжское управление,12 Республика Марий Эл,первичная выездная проверка (по поручению 85 РП),Индивидуальный предприниматель Ефимов Юрий Валерьевич,120 802 822 459,А42-04409,04.12.2017,08.12.2017,1,1,1,4,13,2,0,15,0,34,0, -   ? ,0, -   ? ,0,0,1,0,,
Центральное управление,33 Владимирская область,первичная выездная проверка (по поручению 85 РП),"ООО Фирма ""Стройэкс""",3 305 015 906,А15-02914-0001,22.05.2017,26.05.2017,1,1,1,0,1,0,0,0,0,1,0, -   ? ,0, -   ? ,0,0,0,0,,
Центральное управление,33 Владимирская область,первичная выездная проверка (по поручению 85 РП),"ООО ""Алдега""",3 301 014 926,"ОПО не зарегистрировано, краны сняты с учета 25.05.2017 и переданы в другую эксплуатирующую организацию",07.06.2017,07.06.2017,0,0,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Центральное управление,33 Владимирская область,первичная выездная проверка (по поручению 85 РП),"ООО ""Заклад""",3 305 015 906,А15-04351-0001,29.05.2017,02.06.2017,4,2,2,5,14,2,2,0,0,23,0, -   ? ,1, 20 000.00 ? ,2,0,0,0,,
Нижне-Волжское управление,64 Саратовская область,первичная выездная проверка (по поручению 85 РП),"ООО ""Альфа-Рекорд""",6 453 058 803,А51-05119-0003,21.09.2017,04.10.2017,3,3,0,29,8,1,3,0,1,42,1, 200 000.00 ? ,1, 20 000.00 ? ,0,0,0,0,,
Нижне-Волжское управление,64 Саратовская область,контроль выполнения предписания,"ООО ""Альфа-Рекорд""",6 453 058 803,А51-05119-0003,18.12.2017,22.12.2017,3,3,0,13,5,0,3,0,0,21,1, 400 000.00 ? ,1, 30 000.00 ? ,0,0,0,0,"?0
","?0
"
Енисейское управление,38 Иркутская область,первичная выездная проверка (по поручению 85 РП),"ИРКУТСКОЕ ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ЭНЕРГЕТИКИ И ЭЛЕКТРИФИКАЦИИ Филиал  Усть-Илимская ТЭЦ ""Площадка главного корпуса Усть - Илимской ТЭЦ"",",3 800 000 220, № А67-00330-0072,08.08.2017,31.08.2017,1,1,0,4,2,0,0,0,2,8,0, -   ? ,1, 20 000.00 ? ,0,0,0,0,?нет,"?В сведениях, характеризующих опасный производственный объект А67-00330-0072 неверно указан тип башенного крана КБ-100.ОА зав. № 621, рег. № 2250 «б», а именно указано что данный кран является мостовым.
Отсутствуют сведения о проведении проверки измерения сопротивления заземления рельсового пути башенного крана КБ-100.ОА зав. № 621, рег. № 2250 «б» за 2013 год, 2016 год (последние измерения проведены в 2010 г.)
"
Енисейское управление,38 Иркутская область,первичная выездная проверка (по поручению 85 РП),"Обществл с ограниченной ответственностью ""КУБ""",3 815 013 279,отсутствут,18.09.2017,22.09.2017,2,2,0,1,14,0,0,0,0,15,0, -   ? ,0, -   ? ,1,0,1,0,"?Применён временный запрет эксплуатации кранов
",
Енисейское управление,38 Иркутская область,первичная выездная проверка (по поручению 85 РП),"АО ""Братская электросетевая компания""",3 804 009 506,А67-02453-0001,14.09.2017,29.09.2017,1,1,0,6,6,0,2,0,0,14,0, -   ? ,1, 20 000.00 ? ,0,0,0,0,,
Енисейское управление,38 Иркутская область,первичная выездная проверка (по поручению 85 РП),"АО ""Лесогорсклес""",3 844 000 813,А67-00643-0001,18.09.2017,22.09.2017,2,2,0,1,13,0,0,0,0,14,0, -   ? ,0, -   ? ,1,0,0,0,?нет,
Енисейское управление,38 Иркутская область,первичная выездная проверка (по поручению 85 РП),"ООО ""Доска Сибири""",3 805 716 716,А67-02880-0001,08.09.2017,29.09.2017,2,2,0,3,12,1,1,0,0,17,0, -   ? ,0, -   ? ,1,0,0,0,"?Применён временный запрет эксплуатации 2 башенных кранов
",
Енисейское управление,38 Иркутская область,первичная выездная проверка (по поручению 85 РП),"Открытое акционерное общество ""Братский завод металлоконструкций""",3 805 100 042,А67-00367-0001,23.10.2017,27.10.2017,2,2,0,4,2,0,0,0,0,6,0, -   ? ,0, -   ? ,1,0,0,0,?нет,
Енисейское управление,38 Иркутская область,контроль выполнения предписания,"Акционерное общество ""Братская электросетевая компания""",3 804 009 506,3804009506,06.11.2017,10.11.2017,1,1,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,?нет,
Енисейское управление,38 Иркутская область,первичная выездная проверка (по поручению 85 РП),"Общество с ограниченной ответственностью производственно-коммерческая фирма ""Сибстройторг""",3 823 014 660,А67-01922-0001,20.11.2017,24.11.2017,1,1,0,0,11,1,0,0,0,12,0, -   ? ,0, -   ? ,1,0,0,0,"?Применён ВЗ эксплуатации 1 башенного крана
",
Волжско-Окское управление,13 Республика Мордовия,первичная выездная проверка (по поручению 85 РП),ООО «МордовСтройТранс 2»,1 326 225 996,А45-0209-0001,26.04.2017,28.04.2017,1,1,0,1,4,1,1,1,0,8,1, 200 000.00 ? ,1, 20 000.00 ? ,0,0,0,0,,
Волжско-Окское управление,13 Республика Мордовия,первичная выездная проверка (по поручению 85 РП),Общества с ограниченной ответственностью «Управление механизации и нулевых работ»,1 327 152 780,А45-00772-0001,20.11.2017,30.11.2017,12,8,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Волжско-Окское управление,13 Республика Мордовия,первичная выездная проверка (по поручению 85 РП),ООО МАГМА-СТРОЙ,1 327 002 382,А45-02190-0001,09.01.2018,18.01.2018,3,1,0,4,8,3,0,0,0,15,0, -   ? ,1, 20 000.00 ? ,1,0,0,0,,
Волжско-Окское управление,13 Республика Мордовия,первичная выездная проверка (по поручению 85 РП),Общество с ограниченной ответственностью «Строительно-монтажное управление 27»,1 327 010 792,А45-02211-0001,24.05.2017,31.05.2017,3,2,1,0,10,1,0,0,0,11,1, 200 000.00 ? ,0, 200 000.00 ? ,0,0,1,0,,
Волжско-Окское управление,13 Республика Мордовия,первичная выездная проверка (по поручению 85 РП),Общество с ограниченной ответственностью «ЭлитСтрой»,1 326 246 925,А45-02262-0001,24.01.2018,30.01.2018,1,1,0,0,1,0,0,0,0,1,0, -   ? ,0, -   ? ,0,0,2,0,,
Волжско-Окское управление,13 Республика Мордовия,контроль выполнения предписания,Общества с ограниченной ответственностью «Строительно-монтажное управление 27»,1 327 010 792,А45-02211-0001,17.07.2017,19.07.2017,4,2,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Центральное управление,50 Московская область,контроль выполнения предписания,"АО ""ЭХО""",5 037 050 504,А02-31495-0001,10.01.2018,11.01.2018,3,1,2,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Центральное управление,50 Московская область,контроль выполнения предписания,"ООО ""ВМ Ресурс""",5 036 045 371,А02-90880,04.10.2017,06.10.2017,15,2,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Центральное управление,50 Московская область,первичная выездная проверка (по поручению 85 РП),"ООО ""МСУ-№63 Гидромонтаж""",7 713 725 242,А02-90358-0001,15.01.2018,19.01.2018,1,1,1,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Ленское управление,14 Республика Саха (Якутия),первичная выездная проверка (по поручению 85 РП),Общество с ограниченной ответственностью «Голдлайн»,1 435 168 723,А73-01012,29.05.2017,31.05.2017,2,2,0,0,8,0,0,0,0,8,0, -   ? ,2, 40 000.00 ? ,0,0,0,0,,
Ленское управление,14 Республика Саха (Якутия),первичная выездная проверка (по поручению 85 РП),Общество с ограниченной ответственностью «Стройкон»,1 435 152 748,А73-00848,15.05.2017,29.05.2017,1,1,0,0,5,0,0,0,0,5,0, -   ? ,2, 40 000.00 ? ,0,0,0,0,,
Ленское управление,14 Республика Саха (Якутия),первичная выездная проверка (по поручению 85 РП),Общество с ограниченной ответственностью «Строймонтаж-2002»,1 435 125 832,А73-00966,01.06.2017,29.06.2017,3,3,0,0,4,0,0,0,0,4,0, -   ? ,1, 20 000.00 ? ,0,0,0,0,,
Ленское управление,14 Республика Саха (Якутия),первичная выездная проверка (по поручению 85 РП),Общество с ограниченной ответственностью Строительная компания «Созвездие»,1 435 204 315,А73-01162,01.06.2017,28.06.2017,2,2,0,1,2,0,0,0,0,3,0, -   ? ,1, 20 000.00 ? ,0,0,0,0,,
Ленское управление,14 Республика Саха (Якутия),первичная выездная проверка (по поручению 85 РП),Акционерное общество «Домостроительный комбинат»,1 435 019 440,А73-00160,03.07.2017,28.07.2017,16,16,9,13,17,3,0,6,0,39,1, 200 000.00 ? ,6, 120 000.00 ? ,0,0,0,0,,
Ленское управление,14 Республика Саха (Якутия),первичная выездная проверка (по поручению 85 РП),Общество с ограниченной ответственностью «Башенные краны» ,1 435 212 066,А73-01177,03.07.2017,20.07.2017,27,27,8,14,56,2,0,18,0,90,1, 200 000.00 ? ,10, 200 000.00 ? ,0,0,0,0,,
Ленское управление,14 Республика Саха (Якутия),первичная выездная проверка (по поручению 85 РП),Общество с ограниченной ответственностью «Дальстрой»,1 434 048 737,,05.06.2017,30.06.2017,3,3,0,2,25,0,0,0,0,27,1, 200 000.00 ? ,2, 40 000.00 ? ,0,0,0,0,,
Ленское управление,14 Республика Саха (Якутия),первичная выездная проверка (по поручению 85 РП),Общество с ограниченной ответственностью «Товары Саха Якутместпрома»,1 435 065 894,,19.09.2017,29.09.2017,2,2,0,0,8,3,0,0,0,11,0, -   ? ,2, 35 000.00 ? ,1,0,0,0,"?постановлением суда дело № 5-1524/2017 от 12.10.2017 ПС QTZ 125, 2013 г/в., зав. №125-13-07, приостановлено на 50 суток",
Ленское управление,14 Республика Саха (Якутия),первичная выездная проверка (по поручению 85 РП),Общество с ограниченной ответственностью Управление механизации «Трансстрой»,1 435 295 344,А73-01553,31.10.2017,24.11.2017,3,3,1,0,3,0,0,0,0,3,0, -   ? ,1, 20 000.00 ? ,0,0,0,0,,
Ленское управление,14 Республика Саха (Якутия),первичная выездная проверка (по поручению 85 РП),Открытое акционерное общество  «ЯКСМиК»,1 435 015 580,А73-00141-0002,30.10.2017,24.11.2017,4,4,4,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Центральное управление,76 Ярославская область,первичная выездная проверка (по поручению 85 РП),"ООО Строительная компания "" Феникс""",7 603 061 430,А18-04467-0002,14.09.2017,19.09.2017,1,1,0,0,8,2,0,0,0,10,1, 200 000.00 ? ,1, 20 000.00 ? ,0,0,0,0,,
Средне-Поволжское управление,73 Ульяновская область,первичная выездная проверка (по поручению 85 РП),ООО «Технострой»,7 327 057 978,А52-05727-0001,21.06.2017,29.06.2017,6,4,2,17,26,5,0,0,0,48,0, -   ? ,1, 20 000.00 ? ,1,0,0,0,"?дело об административном правонарушении в отношении ООО «Технострой» направлены для приостановления эксплуатации двух башенных крановвЗасвияжский районный суд города Ульяновска по адресу: 432028, г. Ульяновск, проспект 50-летия ВЛКСМ, д. 23б.",
Центральное управление,76 Ярославская область,первичная выездная проверка (по поручению 85 РП),"ООО Строительная компания ""Сегмент""",7 604 265 838,А18-04495-0001,20.09.2017,25.09.2017,1,1,0,3,7,2,0,0,0,12,1, 200 000.00 ? ,1, 20 000.00 ? ,0,0,0,0,,
Енисейское управление,19 Республика Хакасия,первичная выездная проверка (по поручению 85 РП),"ООО ""Абаканская строительная компания""",1 901 076 871,,19.04.2017,05.05.2017,2,0,0,0,1,0,0,0,0,1,0, -   ? ,0, -   ? ,0,0,0,0,Справка по результатам проверки направлена в прокуратуру г. Абакана с сопроводительным письмом от 05.05.2017 №6.17-13292/68 для принятия решения о привлечении к ответсвенности.,"?Проверка проводилась по распоряжению Прокуратуры РХ совместно с прокуратурой г. Абакана. Справка по результатам проверки направлена в прокуратуру г. Абакана.  Башенные краны переданы в аренду  в ООО ""АСК-Водрем"".
"
Енисейское управление,19 Республика Хакасия,первичная выездная проверка (по поручению 85 РП),"ООО ""АСК-Водрем""",1 901 102 641,,17.04.2017,05.05.2017,4,4,0,23,15,3,1,0,0,42,2, 500 000.00 ? ,0, -   ? ,0,0,0,0,Справка по результатам проверки направлена в прокуратуру г. Абакана с сопроводительным письмом от 05.05.2017 №6.17-13292/68 для принятия решения о привлечении к ответсвенности.,"?Проверка проводилась по распоряжению Прокуратуры РХ совместно с прокуратурой г. Абакана. Справка по результатам проверки направлена в прокуратуру г. Абакана.  Наложен 1 штраф на юр. лицо по ч. 1 ст. 9.1. КоАП РФ и 1 штраф на юр. лицо по ст. 9.19 КоАП РФ
"
Енисейское управление,19 Республика Хакасия,первичная выездная проверка (по поручению 85 РП),"ОАО ""Черногорскпромстрой""",1 903 000 878,А65-00962-0001,17.05.2017,25.05.2017,3,3,2,9,1,0,1,0,1,12,0, -   ? ,1, 20 000.00 ? ,0,0,0,0,"Справка по результатам проверки направлена в прокуратуру г. Черногорска с сопроводительным письмом от 29.05.2017 №6.17-15433/65 для принятия решения о привлечении к ответственности.
","?Проверка проводилась по распоряжению Прокуратуры РХ совместно с прокуратурой г. Черногорска. Справка по результатам проверки направлена в прокуратуру г. Черногорска. 2 башенных крана из-за отсутствия  фронта работ демонтированы и складированы на базе организации. Иное нарушение: Складирование материалов на строительной площадке осуществляется с отступлением от ППРк.
"
Енисейское управление,19 Республика Хакасия,первичная выездная проверка (по поручению 85 РП),"ООО ""Хакстрой""",19 030 206 731,А65-02725-0001,15.05.2017,01.06.2017,3,3,3,0,1,0,0,0,0,1,0, -   ? ,0, -   ? ,0,0,0,0,Справки по результатам проверки направлены в прокуратуру г. Черногорска и г. Абакана с сопроводительными письмами от 29.05.2017 №6.17-15433/65 и от 02.06.2017 №6.17- 16168/65 для принятия решения о привлечении к ответсвенности.,"?Проверка проводилась по распоряжению Прокуратуры РХ совместно с прокуратурой г. Абакана и г. Черногорска. Справки по результатам проверки направлены в прокуратуру г. Абакана и в прокуратуру г. Черногорска.  На момент проведения проверки договора суб аренды всех башенных кранов расторгнуты, краны возвращены владельцу, акты приема-передачи кранов имеются. На момен проведения проверки ООО ""Хакстрой"" строительство с использованием кранов не ведет, краны демонтированы и вывезены с площадок на базу владельца.
"
